Time            NodeID          Direction       MSGID           ACKID           SrcID           DestID          NextHopID       RealDestID      BodyLength      TTL             isLast2Hop      isLastHop       
0               13              1               2               0               13              24              38              -1              612             4               0.090           0               0               
0               7               1               1               0               7               6               43              -1              326             4               0.090           0               0               
100             6               1               1               0               6               43              40              -1              326             3               0.043           0               0               
100             24              1               2               0               24              38              41              -1              612             3               0.016           0               0               
100             16              1               3               0               16              5               44              -1              791             4               0.090           0               0               
100             7               1               4               0               7               30              30              -1              601             4               0.090           0               0               
200             38              1               2               0               38              41              -1              -1              612             2               0.007           1               0               
200             5               1               3               0               5               44              22              -1              791             3               0.059           0               0               
200             43              1               1               0               43              40              20              -1              326             2               0.024           0               0               
200             30              1               4               0               30              30              41              -1              601             3               0.048           0               0               
200             18              1               6               0               18              47              4               -1              557             4               0.090           0               0               
200             47              1               5               0               47              48              27              -1              697             4               0.090           0               0               
300             41              1               2               0               41              3               31              3               612             1               0.007           0               1               
300             47              1               6               0               47              4               33              -1              557             3               0.062           0               0               
300             44              1               3               0               44              22              48              -1              791             2               0.063           0               0               
300             40              1               1               0               40              20              -1              -1              326             1               0.003           1               0               
300             27              1               7               0               27              44              44              -1              520             4               0.090           0               0               
300             48              1               5               0               48              27              47              -1              697             3               0.042           0               0               
300             30              1               4               0               30              41              5               -1              601             2               0.017           0               0               
300             14              1               8               0               14              9               12              -1              786             4               0.090           0               0               
400             4               1               6               0               4               33              40              -1              557             2               0.012           0               0               
400             22              1               3               0               22              48              15              -1              791             1               0.043           0               0               
400             44              1               7               0               44              44              40              -1              520             3               0.085           0               0               
400             47              1               9               0               47              28              17              -1              490             4               0.090           0               0               
400             20              1               1               0               20              33              30              33              326             0               0.003           0               1               
400             3               1               11              2               3               31              11              -1              612             4               0.090           0               0               
400             9               1               8               0               9               12              12              -1              786             3               0.039           0               0               
400             27              1               5               0               27              47              48              -1              697             2               0.028           0               0               
400             12              1               10              0               12              37              42              -1              602             4               0.090           0               0               
400             41              1               4               0               41              5               -1              -1              601             1               0.008           1               0               
500             47              1               5               0               47              48              1               -1              697             1               0.020           0               0               
500             5               1               4               0               5               14              33              14              601             0               0.008           0               1               
500             12              1               8               0               12              12              47              -1              786             2               0.015           0               0               
500             33              1               6               0               33              40              -1              -1              557             1               0.001           1               0               
500             31              1               11              2               31              11              32              -1              612             3               0.090           0               0               
500             37              1               10              0               37              42              24              -1              602             3               0.017           0               0               
500             44              1               7               0               44              40              36              -1              520             2               0.048           0               0               
500             29              1               13              0               29              35              9               -1              730             4               0.090           0               0               
500             33              1               14              1               33              30              31              -1              326             4               0.090           0               0               
500             18              1               12              0               18              35              32              -1              799             4               0.090           0               0               
500             48              1               3               0               48              15              6               -1              791             0               0.016           0               0               
500             28              1               9               0               28              17              27              -1              490             3               0.051           0               0               
600             35              1               13              0               35              9               -1              -1              730             3               0.004           1               0               
600             35              1               12              0               35              32              48              -1              799             3               0.085           0               0               
600             42              1               10              0               42              24              -1              -1              602             2               0.007           1               0               
600             48              1               5               0               48              1               30              -1              697             0               0.019           0               0               
600             48              1               15              0               48              32              27              -1              287             4               0.090           0               0               
600             18              1               16              0               18              11              45              -1              916             4               0.090           0               0               
600             12              1               8               0               12              47              -1              -1              786             1               0.006           1               0               
600             30              1               14              1               30              31              3               -1              326             3               0.090           0               0               
600             40              1               7               0               40              36              -1              -1              520             1               0.000           1               0               
600             40              1               6               0               40              29              31              29              557             0               0.001           0               1               
600             11              1               11              2               11              32              14              -1              612             2               0.077           0               0               
600             14              1               17              4               14              33              2               -1              601             4               0.090           0               0               
600             15              1               3               0               15              6               4               -1              791             -1              0.012           0               0               
600             17              1               9               0               17              27              12              -1              490             2               0.032           0               0               
700             32              1               15              0               32              27              36              -1              287             3               0.037           0               0               
700             36              1               7               0               36              31              16              31              520             0               0.000           0               1               
700             39              1               18              0               39              19              32              -1              294             4               0.090           0               0               
700             6               1               3               0               6               4               -1              -1              791             -2              0.003           1               0               
700             11              1               16              0               11              45              36              -1              916             3               0.073           0               0               
